,"Nuts, almonds, whole, raw","Chicken, breast, boneless, skinless, raw","Corn, sweet, yellow and white kernels, fresh, raw","Eggplant, raw","Flaxseed, ground","Grapes, green, seedless, raw","Lamb, ground, raw","Lettuce, leaf, green, raw","Milk, whole, 3.25% milkfat, with added vitamin D","Millet, whole grain","Oats, whole grain, rolled, old fashioned","Pineapple, raw","Potatoes, gold, without skin, raw","Rice, white, long grain, unenriched, raw","Yogurt, Greek, plain, whole milk"
Calories (kcal),581 kcal,99 kcal,85 kcal,25 kcal,515 kcal,80 kcal,237 kcal,22 kcal,56 kcal,375 kcal,382 kcal,60 kcal,73 kcal,333 kcal,87 kcal
Total carbs (g),20,0,14.7,5.4,34.4,18.6,0,4.07,4.63,74.4,68.7,14.1,16,80.3,5.57
Protein (g),21,22.5,2.79,0.85,18,0.9,17.5,1.09,3.27,10,13.5,0.46,1.81,0.74,8.78
Saturated fat (g),3.78,0.349,0.29,0,3.28,0.03,8.09,0.02,1.86,0.73,1.09,0.01,0,0.2,2.32
Unsaturated fat (g),42.5,0.665,1.34,0,30.64,0.2,10.51,0.1,0.796,3.46,4.8,0.2,0.25,0.83,0.96
Vitamin A (mg),0,0,0.01,0,0,0,0,0.015,0.032,0,0,0,0,0,0.048
Vitamin B (mg),3.39,10,1.59,0.02,3.76,0.188,5.6,0.375,0.138,4.86,0.993,0.228,1.58,1.43,0.48
Vitamin C (mg),0,0,6.8,0.8,0,3,0,15.2,0,0,0,58.6,23.3,0,0
Iron (mg),3.74,0.35,0.39,0.25,5.78,0.2,1.64,0.32,0,2.53,4.34,0.05,0.37,0.14,0.1
Magnesium (mg),258,26.2,25.8,13.5,372,7.1,17.5,12.8,11.9,106,126,13.4,22.3,26.5,10.7
Phosphorus (mg),503,215,75,23,556,22,156,27,101,258,387,5,57,108,126
Potassium (mg),733,330,237,222,793,218,272,277,150,214,350,137,446,82,147
Sodium (mg),2.5,66,2.5,0,37,3,53,29,38,2.5,1,2.5,2,0,34
Zinc (mg),2.86,0.65,0.56,0.12,4.74,0.03,3.13,0.31,0.42,2.26,2.74,0.11,0.37,0.981,0.47
Manganese (mg),2.15,0,0.19,0.106,2.4,0.084,0,0.156,0,0.924,3.23,0.866,0.16,6.6,2.9
Selenium (mg),0,32,0,0,136,0,26,0,1.9,23.1,25.4,0,0,0,0
Fiber (g),10.8,0,2.4,2.4,23.1,0.9,0,1.3,0,3.33,10.4,0.9,13.8,2.77,0
