,"Milk, whole, 3.25% milkfat, with added vitamin D","Corn, sweet, yellow and white kernels, fresh, raw","Chicken, breast, boneless, skinless, raw","Yogurt, Greek, plain, whole milk","Flaxseed, ground","Lettuce, leaf, green, raw","Oats, whole grain, rolled, old fashioned","Potatoes, gold, without skin, raw","Eggplant, raw","Lamb, ground, raw"
Calories (kcal),56 kcal,85 kcal,99 kcal,87 kcal,515 kcal,22 kcal,382 kcal,73 kcal,25 kcal,237 kcal
Total carbs (g),4.63,14.7,0,5.57,34.4,4.07,68.7,16,5.4,0
Protein (g),3.27,2.79,22.5,8.78,18,1.09,13.5,1.81,0.85,17.5
Saturated fat (g),1.86,0.29,0.349,2.32,3.28,0.02,1.09,0,0,8.09
Unsaturated fat (g),0.796,1.34,0.665,0.96,30.64,0.1,4.8,0.25,0,10.51
Vitamin A (mg),0.032,0.01,0,0.048,0,0.015,0,0,0,0
Vitamin B (mg),0.138,1.59,10,0.48,3.76,0.375,0.993,1.58,0.02,5.6
Vitamin C (mg),0,6.8,0,0,0,15.2,0,23.3,0.8,0
Iron (mg),0,0.39,0.35,0.1,5.78,0.32,4.34,0.37,0.25,1.64
Magnesium (mg),11.9,25.8,26.2,10.7,372,12.8,126,22.3,13.5,17.5
Phosphorus (mg),101,75,215,126,556,27,387,57,23,156
Potassium (mg),150,237,330,147,793,277,350,446,222,272
Sodium (mg),38,2.5,66,34,37,29,1,2,0,53
Zinc (mg),0.42,0.56,0.65,0.47,4.74,0.31,2.74,0.37,0.12,3.13
Manganese (mg),0,0.19,0,2.9,2.4,0.156,3.23,0.16,0.106,0
Selenium (mg),1.9,0,32,0,136,0,25.4,0,0,26
Fiber (g),0,2.4,0,0,23.1,1.3,10.4,13.8,2.4,0
